"","x"
"1",42.34
"2",41.95
"3",40.64
"4",40.25
"5",40.25
"6",38.94
"7",38.16
"8",36.56
"9",36.18
"10",36.56
"11",36.18
"12",34.48
"13",34.86
"14",34.86
"15",34.48
"16",32.05
"17",32.78
"18",32.41
"19",31.69
"20",32.05
"21",33.04
"22",46.24
"23",57.24
"24",61.89
"25",61.89
"26",61.89
"27",62.24
"28",60.4
"29",59.69
"30",57.24
"31",58.67
"32",57.94
"33",55.49
"34",53.84
"35",52.3
"36",52.3
"37",52.3
"38",49.94
"39",49.94
"40",47.68
"41",48.04
"42",48.04
"43",46.24
"44",46.24
"45",46.24
"46",44.08
"47",44.44
"48",42.44
"49",42.08
"50",40.08
"51",40.43
"52",40.08
"53",38.38
"54",38.38
"55",38.03
"56",36.68
"57",37.03
"58",36.68
"59",36.68
"60",36.68
"61",35.08
"62",35.08
"63",34.73
"64",34.73
"65",33.38
"66",33.38
"67",33.38
"68",33.38
"69",31.68
"70",31.33
"71",31.33
"72",31.67
"73",30.99
"74",31.33
"75",31.33
"76",30.99
"77",29.73
"78",29.73
"79",29.73
"80",29.73
"81",29.73
"82",28.03
"83",28.02
"84",28.02
"85",27.69
"86",28.02
"87",28.02
"88",28.02
"89",25.99
"90",26.32
"91",25.98
"92",26.32
"93",24.38
"94",24.38
"95",24.38
"96",24.72
"97",24.72
"98",24.72
"99",24.38
"100",24.38
"101",24.38
"102",24.72
"103",22.88
"104",23.22
"105",22.88
"106",22.88
"107",23.22
"108",22.88
"109",22.88
"110",22.88
"111",21.05
"112",21.38
"113",21.38
"114",21.38
"115",21.38
"116",21.38
"117",21.05
"118",21.38
"119",19.45
"120",19.45
"121",19.78
"122",19.45
"123",19.45
"124",19.45
"125",19.45
"126",19.45
"127",19.45
"128",18.04
"129",17.72
"130",18.04
"131",18.04
"132",18.04
"133",16.14
"134",16.14
"135",15.82
"136",16.14
"137",15.82
"138",15.82
"139",16.14
"140",16.14
"141",15.82
"142",17.72
"143",17.72
"144",18.04
"145",17.72
"146",17.72
"147",18.04
"148",17.72
"149",17.72
"150",17.72
"151",17.72
"152",17.72
"153",18.04
"154",17.72
"155",17.72
"156",17.72
"157",17.72
"158",17.72
"159",15.82
"160",17.72
"161",17.71
"162",17.71
"163",17.71
"164",17.71
"165",17.71
"166",17.71
"167",17.71
"168",17.71
"169",17.71
"170",17.71
"171",17.71
"172",17.71
"173",17.4
"174",17.71
"175",17.71
"176",17.4
"177",15.81
"178",15.81
"179",15.81
"180",15.5
"181",15.5
"182",15.81
"183",15.81
"184",15.81
"185",15.81
"186",15.81
"187",15.81
"188",15.81
"189",15.81
"190",15.5
"191",15.81
"192",15.81
"193",15.81
"194",15.81
"195",15.49
"196",15.49
"197",15.8
"198",15.8
"199",15.8
"200",15.8
"201",15.8
"202",15.49
"203",13.82
"204",14.13
"205",14.13
"206",15.49
"207",15.8
"208",15.49
"209",15.49
"210",15.49
"211",15.8
"212",15.49
"213",15.49
"214",15.49
"215",15.8
"216",15.49
"217",15.8
"218",15.49
"219",15.49
"220",15.49
"221",15.49
"222",15.49
"223",15.3
"224",15.49
"225",13.82
